english,farsi
breakfast,sobh-aneh
dinner,shâm
correct,dorost
tired,khasteh
there is,anja hast
wind,bâd
sun,khorshid/oftâb
sunny,oftâbi
rain,baran
rainy,barani
thing,cheezy
something,yek cheesy
someone,kassi
hello (ancient),dorood
goodbye (ancient),bedrood
mother,madar/mâmân
father,pedar/baba
month,mâh
lip,lab
expensive,gerân/geroon
cheap,arzân/arzoon
key,kelid
better,behtar
star,setaareh
thunder,tondar
mouse,moush
name,esmesh (formal:nâm)
new,no
fairy,pari
I am not,nistam
ready,hazer
a little bit,yek kami (yek kam)
