english,farsi
week,hafte
year,saal
cold,sard
hot,dâr
far,dour
ugly,zesht
easy,saade
zero,sefr
six,shesh
seven,haft
eight,hasht
nine,noh
ten,dah
head,sar
with,ba
without,bi
but,vali
all,hame
many,bas
mine,mal-e
store,marâze
why,cherâ
how,chekonehe
what,chehe
who,keye
where,keyâ
when,kei
happy,khosh
funny,khande
excited,hayejaanzade
have fun,khosh bâshi
food,ghaza
the big brother,barâdar-e bozorg
my book (book of me),ke'tab-e man
beautiful girl (girl-of beautiful),doxtar-e zibâ
heart,del
tight,tang
for,baraye
must,bāyad
might,shāyad
