english,farsi
open / to open,bâz / bâz kardan
snow / to snow,barf / barf âmadan
ear / to listen,goush / goush kardan (goush dâdan)
black,sia
white,sefid
orange (color),nârendji
red,ermez/sorkh
blue,âbi
meuble,asbâb
jouet,asbâb bâzi
fire,âtesh
teacher (arabic/farsi),moallem/amoozegar
student before university / after university,dânesh amooz / dâneshjoo
language,zabân
one moment,yek lahzeh
weather,havâ
money,pool
bathroom,hamam
congratulations,tabrik
end,âkhar
domestic/tamed (belong home),ahli
wife/husband,hamsar
house,khooneh(khâneh)
before,pish/rabl
after,pas/ba-ad
this,in
that,ân
poop,an
only,farat
to fart,boo kardan
to smell (bad),boo dadan
because,tchon
ass,koon
painful,dardnok
it hurts,dard mikone
god (the nurturer),parvar degar
kitchen,ashpaz khooneh
